Column1,Column2,Number
4.60E+01,-2.04E+02,199
3.72E+01,-1.64E+01,200
7.22E+01,-2.25E+01,201
-4.67E+00,7.08E+01,202
1.14E+01,-2.04E+02,203
-1.37E+01,-1.08E+02,204
-4.77E+01,1.75E+01,205
-1.52E+01,-8.57E+01,206
2.64E+01,-2.76E+02,207
4.12E+01,-8.13E+00,208
-3.42E+01,-5.53E+01,209
4.97E+01,-2.43E+02,210
3.66E+01,-3.80E+00,211
-6.85E+01,9.59E+01,212
5.16E+01,1.06E+02,213
-4.18E+01,-3.88E+01,214
4.81E+01,6.55E+01,215
-2.22E+01,-4.59E+00,216
4.79E+00,-1.08E+02,217
-1.33E+02,-5.65E+01,218
-1.93E+01,1.80E+01,219
6.86E+01,-1.53E+02,220
-5.74E+01,2.49E+01,221
2.76E+01,-2.17E+01,222
2.71E+01,-6.23E+00,223
1.23E+02,9.42E+01,224
1.28E+02,2.10E+02,225
4.07E+01,-1.46E+02,226
3.71E+01,1.82E+01,227
-1.07E+01,-8.39E+00,228
2.68E+01,7.68E+01,229
4.04E+01,1.91E+02,230
2.46E+02,9.90E+01,231
1.35E+01,7.64E+01,232
6.71E+01,1.97E+02,233
-5.96E+01,-1.52E+01,234
2.06E+01,-1.14E+02,235
1.60E+01,7.63E+01,236
3.94E+01,-2.02E+02,237
6.79E+01,-2.30E+01,238
1.70E+01,-2.03E+02,239
2.72E+01,1.66E+01,240
4.03E+01,-5.77E+01,241
-1.64E+01,-1.51E+02,242
1.19E+01,5.14E+01,243
-1.41E+01,-1.18E+02,244
-7.46E+01,2.16E+01,245
6.62E+01,3.48E+01,246
-2.29E+01,-1.18E+02,247
-4.47E+01,6.85E+01,248
-5.60E+01,1.79E+02,249
-1.37E+01,1.15E+02,250
4.47E+01,-1.13E+02,251
4.96E+01,7.76E+01,252
3.00E+00,9.05E+01,253
-1.97E+01,2.93E+01,254
-1.57E+01,-2.10E+02,255
2.13E+01,-2.44E+02,256
4.95E+01,2.32E+01,257
-4.45E+01,-1.49E+02,258
-3.42E+01,-8.71E+01,259
-2.70E+01,-8.05E+01,260
1.92E+01,6.05E+01,261
2.06E+02,1.32E+02,262
-4.28E+01,1.56E+02,263
-2.38E+01,1.58E+02,264
1.35E+01,1.61E+02,265
2.09E+01,-1.47E+02,266
1.39E+01,-2.72E+01,267
1.22E+01,1.85E+02,268
2.65E+01,2.96E+02,269
3.13E+01,2.71E+02,270
2.21E+00,2.72E+02,271
-1.76E+01,1.79E+02,272
-1.59E+01,-1.40E+02,273
-3.72E+01,-3.85E+01,274
-5.33E+01,1.00E+02,275
-8.59E+01,2.09E+02,276
3.67E+00,-1.38E+02,277
2.27E+00,-3.38E+01,278
-3.02E+01,1.06E+02,279
-5.97E+01,2.16E+02,280
1.94E+01,-1.35E+02,281
1.64E+01,-3.26E+01,282
9.04E+00,1.12E+02,283
5.98E+00,2.24E+02,284
2.23E+01,-2.34E+02,285
1.50E+00,-1.77E+01,286
5.09E+00,-2.15E+02,287
-2.91E+01,-2.25E+01,288
4.01E+01,-2.59E+02,289
5.11E+01,-2.48E+02,290
-2.32E+01,-4.80E+01,291
5.11E+01,-2.48E+02,292
1.44E+01,-5.60E+01,293
2.08E+01,-2.35E+02,294
1.03E+01,-1.04E+02,295
-5.16E+00,4.75E+01,296
3.28E+01,-2.33E+02,297
-5.03E+00,-1.06E+02,298
-2.10E+01,4.65E+01,299
-2.43E+01,-1.87E+02,300
-6.13E+01,-1.55E+01,301
-2.90E+01,-1.87E+02,302
1.62E+01,-6.19E+00,303
1.03E+01,-2.59E+02,304
-3.03E+00,-1.75E+02,305
-5.07E+01,9.24E+01,306
-8.30E+01,2.03E+02,307
-7.98E+00,-1.85E+02,308
