"","x"
"0%",-934.6827
"10%",-5.58671413
"20%",-4.19595731
"30%",-3.5271430465
"40%",-3.048289661
"50%",-2.547355563
"60%",3.025135995
"70%",6.511545481
"80%",19.87661251
"90%",34.036768825
"100%",265.9733
