Year,Make,Model,Quantity,Country
2016,Toyota ,Toyota Rav4,735,Japan
2016,Toyota ,Toyota Rav4,581,Japan
2016,Toyota ,Toyota Rav4,385,Japan
2016,Toyota ,Toyota Rav4,513,Japan
2016,Toyota ,Toyota Rav4,374,Japan
2010,Toyota ,Toyota Urban Cruiser,302,Japan
2010,Toyota ,Toyota Urban Cruiser,178,Japan
2010,Toyota ,Toyota Urban Cruiser,158,Japan
2010,Toyota ,Toyota Urban Cruiser,141,Japan
2010,Toyota ,Toyota Urban Cruiser,134,Japan
2010,Toyota ,Toyota Urban Cruiser,112,Japan
2010,Toyota ,Toyota Urban Cruiser,100,Japan
2010,Toyota ,Toyota Urban Cruiser,157,Japan
2010,Toyota ,Toyota Urban Cruiser,133,Japan
2010,Toyota ,Toyota Urban Cruiser,202,Japan
2010,Toyota ,Toyota Yaris,186,Japan
2010,Toyota ,Toyota Yaris,153,Japan
2010,Toyota ,Toyota Yaris,140,Japan
2010,Toyota ,Toyota Yaris,144,Japan
2010,Toyota ,Toyota Yaris,136,Japan
2010,Toyota ,Toyota Yaris,187,Japan
2010,Toyota ,Toyota Yaris,74,Japan
2011,Toyota ,Toyota Yaris,164,Japan
2011,Toyota ,Toyota Yaris,188,Japan
2011,Toyota ,Toyota Yaris,117,Japan
2011,Toyota ,Toyota Yaris,225,Japan
2011,Toyota ,Toyota Yaris,153,Japan
2011,Toyota ,Toyota Yaris,154,Japan
2011,Toyota ,Toyota Yaris,94,Japan
2011,Toyota ,Toyota Yaris,195,Japan
2011,Toyota ,Toyota Yaris,188,Japan
2012,Toyota ,Toyota Yaris,381,Japan
2012,Toyota ,Toyota Yaris,309,Japan
2012,Toyota ,Toyota Yaris,368,Japan
2012,Toyota ,Toyota Yaris,289,Japan
2012,Toyota ,Toyota Yaris,256,Japan
2012,Toyota ,Toyota Yaris,213,Japan
2012,Toyota ,Toyota Yaris,212,Japan
2012,Toyota ,Toyota Yaris,453,Japan
2012,Toyota ,Toyota Yaris,274,Japan
2012,Toyota ,Toyota Yaris,460,Japan
2012,Toyota ,Toyota Yaris,366,Japan
2012,Toyota ,Toyota Yaris,134,Japan
2013,Toyota ,Toyota Yaris,403,Japan
2013,Toyota ,Toyota Yaris,390,Japan
2013,Toyota ,Toyota Yaris,240,Japan
2013,Toyota ,Toyota Yaris,297,Japan
2013,Toyota ,Toyota Yaris,366,Japan
2013,Toyota ,Toyota Yaris,350,Japan
2013,Toyota ,Toyota Yaris,441,Japan
2013,Toyota ,Toyota Yaris,426,Japan
2013,Toyota ,Toyota Yaris,297,Japan
2013,Toyota ,Toyota Yaris,446,Japan
2013,Toyota ,Toyota Yaris,383,Japan
2013,Toyota ,Toyota Yaris,211,Japan
2014,Toyota ,Toyota Yaris,351,Japan
2014,Toyota ,Toyota Yaris,314,Japan
2014,Toyota ,Toyota Yaris,304,Japan
2014,Toyota ,Toyota Yaris,268,Japan
2014,Toyota ,Toyota Yaris,378,Japan
2014,Toyota ,Toyota Yaris,331,Japan
2014,Toyota ,Toyota Yaris,289,Japan
2014,Toyota ,Toyota Yaris,204,Japan
2014,Toyota ,Toyota Yaris,339,Japan
2014,Toyota ,Toyota Yaris,440,Japan
2014,Toyota ,Toyota Yaris,361,Japan
2014,Toyota ,Toyota Yaris,312,Japan
2015,Toyota ,Toyota Yaris,328,Japan
2015,Toyota ,Toyota Yaris,338,Japan
2015,Toyota ,Toyota Yaris,379,Japan
2015,Toyota ,Toyota Yaris,330,Japan
2015,Toyota ,Toyota Yaris,371,Japan
2015,Toyota ,Toyota Yaris,371,Japan
2015,Toyota ,Toyota Yaris,401,Japan
2015,Toyota ,Toyota Yaris,338,Japan
2015,Toyota ,Toyota Yaris,364,Japan
2015,Toyota ,Toyota Yaris,379,Japan
2015,Toyota ,Toyota Yaris,334,Japan
2015,Toyota ,Toyota Yaris,281,Japan
2016,Toyota ,Toyota Yaris,317,Japan
2016,Toyota ,Toyota Yaris,296,Japan
2016,Toyota ,Toyota Yaris,361,Japan
2016,Toyota ,Toyota Yaris,362,Japan
2016,Toyota ,Toyota Yaris,483,Japan
2016,Toyota ,Toyota Yaris,391,Japan
2016,Toyota ,Toyota Yaris,266,Japan
2016,Toyota ,Toyota Yaris,410,Japan
2016,Toyota ,Toyota Yaris,405,Japan
2016,Toyota ,Toyota Yaris,353,Japan
2016,Toyota ,Toyota Yaris,311,Japan
2016,Toyota ,Toyota Yaris,292,Japan
2010,Volkswagen ,Volkswagen Golf,739,Germany
2010,Volkswagen ,Volkswagen Golf,597,Germany
2010,Volkswagen ,Volkswagen Golf,601,Germany
2010,Volkswagen ,Volkswagen Golf,763,Germany
2010,Volkswagen ,Volkswagen Golf,559,Germany
2010,Volkswagen ,Volkswagen Golf,671,Germany
2010,Volkswagen ,Volkswagen Golf,893,Germany
2010,Volkswagen ,Volkswagen Golf,544,Germany
2010,Volkswagen ,Volkswagen Golf,670,Germany
2010,Volkswagen ,Volkswagen Golf,742,Germany
2010,Volkswagen ,Volkswagen Golf,913,Germany
2010,Volkswagen ,Volkswagen Golf,537,Germany
2011,Volkswagen ,Volkswagen Golf,637,Germany
2011,Volkswagen ,Volkswagen Golf,532,Germany
2011,Volkswagen ,Volkswagen Golf,714,Germany
2011,Volkswagen ,Volkswagen Golf,680,Germany
2011,Volkswagen ,Volkswagen Golf,611,Germany
2011,Volkswagen ,Volkswagen Golf,391,Germany
2011,Volkswagen ,Volkswagen Golf,636,Germany
2011,Volkswagen ,Volkswagen Golf,668,Germany
2011,Volkswagen ,Volkswagen Golf,608,Germany
2011,Volkswagen ,Volkswagen Golf,667,Germany
2011,Volkswagen ,Volkswagen Golf,619,Germany
2011,Volkswagen ,Volkswagen Golf,607,Germany
2012,Volkswagen ,Volkswagen Golf,482,Germany
2012,Volkswagen ,Volkswagen Golf,377,Germany
2012,Volkswagen ,Volkswagen Golf,599,Germany
2012,Volkswagen ,Volkswagen Golf,685,Germany
2012,Volkswagen ,Volkswagen Golf,555,Germany
2012,Volkswagen ,Volkswagen Golf,377,Germany
2012,Volkswagen ,Volkswagen Golf,612,Germany
2012,Volkswagen ,Volkswagen Golf,566,Germany
2012,Volkswagen ,Volkswagen Golf,461,Germany
2012,Volkswagen ,Volkswagen Golf,483,Germany
2012,Volkswagen ,Volkswagen Golf,664,Germany
2012,Volkswagen ,Volkswagen Golf,452,Germany
2013,Volkswagen ,Volkswagen Golf,733,Germany
2013,Volkswagen ,Volkswagen Golf,678,Germany
2013,Volkswagen ,Volkswagen Golf,555,Germany
2013,Volkswagen ,Volkswagen Golf,903,Germany
2013,Volkswagen ,Volkswagen Golf,512,Germany
2013,Volkswagen ,Volkswagen Golf,550,Germany
2013,Volkswagen ,Volkswagen Golf,587,Germany
2013,Volkswagen ,Volkswagen Golf,514,Germany
2013,Volkswagen ,Volkswagen Golf,561,Germany
2013,Volkswagen ,Volkswagen Golf,646,Germany
2013,Volkswagen ,Volkswagen Golf,666,Germany
2013,Volkswagen ,Volkswagen Golf,461,Germany
2014,Volkswagen ,Volkswagen Golf,465,Germany
2014,Volkswagen ,Volkswagen Golf,488,Germany
2014,Volkswagen ,Volkswagen Golf,624,Germany
2014,Volkswagen ,Volkswagen Golf,766,Germany
2014,Volkswagen ,Volkswagen Golf,565,Germany
2014,Volkswagen ,Volkswagen Golf,723,Germany
2014,Volkswagen ,Volkswagen Golf,1136,Germany
2014,Volkswagen ,Volkswagen Golf,1075,Germany
2014,Volkswagen ,Volkswagen Golf,939,Germany
2014,Volkswagen ,Volkswagen Golf,1038,Germany
2014,Volkswagen ,Volkswagen Golf,870,Germany
2014,Volkswagen ,Volkswagen Golf,990,Germany
2015,Volkswagen ,Volkswagen Golf,1313,Germany
2015,Volkswagen ,Volkswagen Golf,1199,Germany
2015,Volkswagen ,Volkswagen Golf,1421,Germany
2015,Volkswagen ,Volkswagen Golf,1595,Germany
2015,Volkswagen ,Volkswagen Golf,1323,Germany
2015,Volkswagen ,Volkswagen Golf,1626,Germany
2015,Volkswagen ,Volkswagen Golf,1542,Germany
2015,Volkswagen ,Volkswagen Golf,1414,Germany
2015,Volkswagen ,Volkswagen Golf,1102,Germany
2015,Volkswagen ,Volkswagen Golf,1368,Germany
2015,Volkswagen ,Volkswagen Golf,1435,Germany
2015,Volkswagen ,Volkswagen Golf,1050,Germany
2016,Volkswagen ,Volkswagen Golf,998,Germany
2016,Volkswagen ,Volkswagen Golf,1247,Germany
2016,Volkswagen ,Volkswagen Golf,1414,Germany
2016,Volkswagen ,Volkswagen Golf,1713,Germany
2016,Volkswagen ,Volkswagen Golf,1054,Germany
2016,Volkswagen ,Volkswagen Golf,1056,Germany
2016,Volkswagen ,Volkswagen Golf,972,Germany
2016,Volkswagen ,Volkswagen Golf,1214,Germany
2016,Volkswagen ,Volkswagen Golf,996,Germany
2016,Volkswagen ,Volkswagen Golf,858,Germany
2016,Volkswagen ,Volkswagen Golf,905,Germany
2016,Volkswagen ,Volkswagen Golf,721,Germany
2010,Volkswagen ,Volkswagen Passat,299,Germany
2010,Volkswagen ,Volkswagen Passat,311,Germany
2010,Volkswagen ,Volkswagen Passat,329,Germany
2010,Volkswagen ,Volkswagen Passat,370,Germany
2010,Volkswagen ,Volkswagen Passat,334,Germany
2010,Volkswagen ,Volkswagen Passat,262,Germany
2010,Volkswagen ,Volkswagen Passat,347,Germany
2010,Volkswagen ,Volkswagen Passat,249,Germany
2010,Volkswagen ,Volkswagen Passat,235,Germany
2010,Volkswagen ,Volkswagen Passat,168,Germany
2010,Volkswagen ,Volkswagen Passat,80,Germany
2010,Volkswagen ,Volkswagen Passat,178,Germany
2011,Volkswagen ,Volkswagen Passat,269,Germany
2011,Volkswagen ,Volkswagen Passat,319,Germany
2011,Volkswagen ,Volkswagen Passat,347,Germany
2011,Volkswagen ,Volkswagen Passat,432,Germany
2011,Volkswagen ,Volkswagen Passat,581,Germany
2011,Volkswagen ,Volkswagen Passat,411,Germany
2011,Volkswagen ,Volkswagen Passat,329,Germany
2011,Volkswagen ,Volkswagen Passat,406,Germany
2011,Volkswagen ,Volkswagen Passat,342,Germany
2011,Volkswagen ,Volkswagen Passat,361,Germany
2011,Volkswagen ,Volkswagen Passat,396,Germany
2011,Volkswagen ,Volkswagen Passat,415,Germany
2012,Volkswagen ,Volkswagen Passat,290,Germany
2012,Volkswagen ,Volkswagen Passat,263,Germany
2012,Volkswagen ,Volkswagen Passat,332,Germany
2012,Volkswagen ,Volkswagen Passat,397,Germany
2012,Volkswagen ,Volkswagen Passat,417,Germany
2012,Volkswagen ,Volkswagen Passat,349,Germany
2012,Volkswagen ,Volkswagen Passat,420,Germany
2012,Volkswagen ,Volkswagen Passat,340,Germany
2012,Volkswagen ,Volkswagen Passat,321,Germany
2012,Volkswagen ,Volkswagen Passat,391,Germany
2012,Volkswagen ,Volkswagen Passat,376,Germany
2012,Volkswagen ,Volkswagen Passat,252,Germany
2013,Volkswagen ,Volkswagen Passat,245,Germany
2013,Volkswagen ,Volkswagen Passat,274,Germany
2013,Volkswagen ,Volkswagen Passat,258,Germany
2013,Volkswagen ,Volkswagen Passat,324,Germany
2013,Volkswagen ,Volkswagen Passat,256,Germany
2013,Volkswagen ,Volkswagen Passat,281,Germany
2013,Volkswagen ,Volkswagen Passat,222,Germany
2013,Volkswagen ,Volkswagen Passat,226,Germany
2013,Volkswagen ,Volkswagen Passat,250,Germany
2013,Volkswagen ,Volkswagen Passat,239,Germany
2013,Volkswagen ,Volkswagen Passat,243,Germany
2013,Volkswagen ,Volkswagen Passat,179,Germany
2014,Volkswagen ,Volkswagen Passat,207,Germany
2014,Volkswagen ,Volkswagen Passat,211,Germany
2014,Volkswagen ,Volkswagen Passat,190,Germany
2014,Volkswagen ,Volkswagen Passat,290,Germany
2014,Volkswagen ,Volkswagen Passat,206,Germany
2014,Volkswagen ,Volkswagen Passat,195,Germany
2014,Volkswagen ,Volkswagen Passat,188,Germany
2014,Volkswagen ,Volkswagen Passat,169,Germany
2014,Volkswagen ,Volkswagen Passat,143,Germany
2014,Volkswagen ,Volkswagen Passat,169,Germany
2014,Volkswagen ,Volkswagen Passat,167,Germany
2014,Volkswagen ,Volkswagen Passat,324,Germany
2015,Volkswagen ,Volkswagen Passat,254,Germany
2015,Volkswagen ,Volkswagen Passat,204,Germany
2015,Volkswagen ,Volkswagen Passat,229,Germany
2015,Volkswagen ,Volkswagen Passat,354,Germany
2015,Volkswagen ,Volkswagen Passat,236,Germany
2015,Volkswagen ,Volkswagen Passat,308,Germany
2015,Volkswagen ,Volkswagen Passat,356,Germany
2015,Volkswagen ,Volkswagen Passat,240,Germany
2015,Volkswagen ,Volkswagen Passat,184,Germany
2015,Volkswagen ,Volkswagen Passat,286,Germany
2015,Volkswagen ,Volkswagen Passat,358,Germany
2015,Volkswagen ,Volkswagen Passat,198,Germany
2016,Volkswagen ,Volkswagen Passat,236,Germany
2016,Volkswagen ,Volkswagen Passat,310,Germany
2016,Volkswagen ,Volkswagen Passat,372,Germany
2016,Volkswagen ,Volkswagen Passat,684,Germany
2016,Volkswagen ,Volkswagen Passat,530,Germany
2016,Volkswagen ,Volkswagen Passat,463,Germany
2016,Volkswagen ,Volkswagen Passat,444,Germany
2016,Volkswagen ,Volkswagen Passat,358,Germany
2016,Volkswagen ,Volkswagen Passat,314,Germany
2016,Volkswagen ,Volkswagen Passat,487,Germany
2016,Volkswagen ,Volkswagen Passat,316,Germany
2016,Volkswagen ,Volkswagen Passat,299,Germany
2010,Volkswagen ,Volkswagen Polo,3310,Germany
2011,Volkswagen ,Volkswagen Polo,3301,Germany
2012,Volkswagen ,Volkswagen Polo,3179,Germany
2013,Volkswagen ,Volkswagen Polo,578,Germany
2015,Volkswagen ,Volkswagen Polo,139,Germany
2015,Volkswagen ,Volkswagen Polo,183,Germany
2016,Volkswagen ,Volkswagen Polo,144,Germany
2016,Volkswagen ,Volkswagen Polo,111,Germany
2016,Volkswagen ,Volkswagen Polo,118,Germany
2016,Volkswagen ,Volkswagen Polo,227,Germany
2016,Volkswagen ,Volkswagen Polo,159,Germany
2016,Volkswagen ,Volkswagen Polo,143,Germany
2016,Volkswagen ,Volkswagen Polo,145,Germany
2010,Volkswagen ,Volkswagen Tiguan,2252,Germany
2011,Volkswagen ,Volkswagen Tiguan,2158,Germany
2012,Volkswagen ,Volkswagen Tiguan,3336,Germany
2013,Volkswagen ,Volkswagen Tiguan,3274,Germany
2014,Volkswagen ,Volkswagen Tiguan,3231,Germany
2015,Volkswagen ,Volkswagen Tiguan,118,Germany
2016,Volkswagen ,Volkswagen Tiguan,1305,Germany
2011,Volkswagen ,Volkswagen Touran,867,Germany
2016,Volkswagen ,Volkswagen Touran,135,Germany
2012,Volkswagen ,Volkswagen up!,208,Germany
2013,Volkswagen ,Volkswagen up!,442,Germany
2014,Volkswagen ,Volkswagen up!,3180,Germany
2015,Volkswagen ,Volkswagen up!,2194,Germany
2016,Volkswagen ,Volkswagen up!,1165,Germany
2013,Volvo ,Volvo V40,2403,China
2014,Volvo ,Volvo V40,2009,China
2015,Volvo ,Volvo V40,400,China
2016,Volvo ,Volvo V40,226,China
2010,Volvo ,Volvo V50,1766,China
2011,Volvo ,Volvo V50,1580,China
2012,Volvo ,Volvo V50,2320,China
2011,Volvo ,Volvo V60,2268,China
2012,Volvo ,Volvo V60,2860,China
2013,Volvo ,Volvo V60,2407,China
2015,Volvo ,Volvo V60,553,China
2010,Volvo ,Volvo V70,4635,China
2011,Volvo ,Volvo V70,4052,China
2012,Volvo ,Volvo V70,3860,China
2013,Volvo ,Volvo V70,3172,China
2014,Volvo ,Volvo V70,3101,China
2015,Volvo ,Volvo V70,2611,China
2016,Volvo ,Volvo V70,1116,China
2010,Volvo ,Volvo XC60,777,China
2011,Volvo ,Volvo XC60,1922,China
2012,Volvo ,Volvo XC60,1815,China
2013,Volvo ,Volvo XC60,878,China
2014,Volvo ,Volvo XC60,1174,China
2015,Volvo ,Volvo XC60,1988,China
2016,Volvo ,Volvo XC60,646,China
2016,Volvo ,Volvo XC90,1066,China
