Year,Make,Model,Quantity,Country
2010,Peugeot ,Peugeot 207,171,France
2012,Peugeot ,Peugeot 208,333,France
2013,Peugeot ,Peugeot 208,1194,France
2010,Peugeot ,Peugeot 3008,3165,France
2011,Peugeot ,Peugeot 3008,1167,France
2010,Peugeot ,Peugeot 308,311,France
2014,Peugeot ,Peugeot 308,560,France
2015,Peugeot ,Peugeot 308,1468,France
2016,Peugeot ,Peugeot 308,1176,France
2011,Peugeot ,Peugeot 508,1391,France
2012,Peugeot ,Peugeot 508,186,France
2012,Peugeot ,Peugeot 508,169,France
2012,Peugeot ,Peugeot 508,133,France
2012,Peugeot ,Peugeot 508,128,France
2012,Peugeot ,Peugeot 508,198,France
2012,Peugeot ,Peugeot 508,156,France
2013,Peugeot ,Peugeot 508,180,France
2013,Peugeot ,Peugeot 508,137,France
2015,Renault ,Renault Zoe,228,France
2015,Renault ,Renault Zoe,154,France
2015,Renault ,Renault Zoe,431,France
2015,Renault ,Renault Zoe,24,France
2016,Renault ,Renault Zoe,197,France
2016,Renault ,Renault Zoe,50,France
2016,Renault ,Renault Zoe,291,France
2016,Renault ,Renault Zoe,230,France
2016,Renault ,Renault Zoe,64,France
2016,Renault ,Renault Zoe,398,France
2016,Renault ,Renault Zoe,79,France
2016,Renault ,Renault Zoe,15,France
2016,Renault ,Renault Zoe,158,France
2016,Renault ,Renault Zoe,161,France
2016,Renault ,Renault Zoe,100,France
2016,Skoda ,Skoda Fabia,63,Germany
2016,Skoda ,Skoda Fabia,71,Germany
2010,Skoda ,Skoda Octavia,197,Germany
2010,Skoda ,Skoda Octavia,272,Germany
2010,Skoda ,Skoda Octavia,278,Germany
2010,Skoda ,Skoda Octavia,272,Germany
2010,Skoda ,Skoda Octavia,178,Germany
2010,Skoda ,Skoda Octavia,263,Germany
2010,Skoda ,Skoda Octavia,282,Germany
2010,Skoda ,Skoda Octavia,177,Germany
2010,Skoda ,Skoda Octavia,258,Germany
2010,Skoda ,Skoda Octavia,258,Germany
2010,Skoda ,Skoda Octavia,323,Germany
2010,Skoda ,Skoda Octavia,256,Germany
2011,Skoda ,Skoda Octavia,257,Germany
2011,Skoda ,Skoda Octavia,278,Germany
2011,Skoda ,Skoda Octavia,209,Germany
2011,Skoda ,Skoda Octavia,238,Germany
2011,Skoda ,Skoda Octavia,241,Germany
2011,Skoda ,Skoda Octavia,245,Germany
2011,Skoda ,Skoda Octavia,283,Germany
2011,Skoda ,Skoda Octavia,274,Germany
2011,Skoda ,Skoda Octavia,331,Germany
